LRBO 45.22 26.97 100 5
LRAR 46.18 21.27 200 6
LPPT 38.77 -9.13 220 8
LPPR 41.23 -8.68 210 11
LPOV 40.92 -8.65 190 9
LPMR 39.82 -8.88 230 8
LPFR 37.02 -7.97 230 10
LKNA 49.17 16.12 110 9
LKKU 49.05 17.45 40 4
LKCV 49.93 15.38 120 9
LJPZ 45.47 13.62 340 4
LJMB 46.47 15.67 140 6
LFYR 47.32 1.68 280 5
LFTW 43.75 4.42 280 4
LFTH 43.1 6.15 280 15
LFSX 47.77 6.35 260 9
LFSO 48.57 5.97 250 11
LFSL 45.03 1.48 280 11
LFSI 48.62 4.9 300 14
LFSG 48.33 6.07 250 10
LFSD 47.27 5.08 260 7
LFSB 47.6 7.52 240 10
LFRZ 47.32 -2.17 280 23
LFRU 48.6 -3.82 280 15
LFRT 48.53 -2.85 290 14
LFRQ 47.97 -4.17 290 17
LFRN 48.07 -1.73 300 13
LFRK 49.17 -0.45 350 6
LFRI 46.7 -1.37 280 21
LFRH 47.77 -3.45 280 13
LFRD 48.58 -2.07 320 8
LFRC 49.63 -1.47 0 3
LFRB 48.45 -4.42 280 13
LFQQ 50.57 3.1 290 8
LFQB 48.32 4.02 300 11
LFQA 49.2 4.15 300 10
LFPV 48.77 2.2 300 14
LFPG 49.02 2.53 300 13
LFOZ 47.9 2.17 330 5
LFOV 48.03 -0.75 310 10
LFOT 47.43 0.72 310 6
LFOK 48.78 4.15 330 15
LFOH 49.52 0.08 330 9
LFOE 49.02 1.22 310 9
LFOC 48.05 1.37 280 9
LFOB 49.47 2.12 300 9
LFOA 47.05 2.63 280 8
LFMU 43.32 3.35 270 17
LFMT 43.57 3.97 290 16
LFMP 42.73 2.87 290 28
LFMO 44.13 4.87 80 4
LFMN 43.65 7.2 90 8
LFML 43.45 5.22 280 14
LFMK 43.22 2.32 280 19
LFMH 45.52 4.28 240 7
LFMD 43.53 6.95 0 3
LFMC 43.37 6.38 290 13
LFLY 45.72 4.95 230 5
LFLX 46.87 1.73 250 12
LFLU 44.92 4.98 170 5
LFLN 46.42 4.02 290 6
LFLB 45.63 5.87 200 10
LFKJ 41.92 8.8 300 12
LFKF 41.5 9.08 280 17
LFKC 42.52 8.8 210 9
LFKB 42.55 9.48 120 5
LFJR 47.57 -0.32 280 9
LFJL 48.97 6.25 270 6
LFGJ 47.05 5.43 220 12
LFGA 48.1 7.35 230 5
LFCR 44.4 2.47 280 19
LFCK 43.55 2.28 290 18
LFBZ 43.47 -1.53 280 12
LFBT 43.18 0 260 17
LFBP 43.38 -0.42 260 20
LFBO 43.62 1.37 280 22
LFBM 43.92 -0.5 280 19
LFBL 45.87 1.17 270 18
LFBI 46.58 0.32 280 15
LFBH 46.18 -1.2 280 27
LFBG 45.67 -0.32 280 18
LFBE 44.82 0.52 280 16
LFBD 44.82 -0.7 290 17
LFBC 44.52 -1.12 290 18
LFBA 44.17 0.6 270 18
LFAT 50.52 1.62 340 7
LFAQ 49.97 2.7 320 11
LFAC 50.97 1.95 330 10
LEZG 41.67 -1.02 290 12
LEVX 42.23 -8.62 180 7
LEVD 41.72 -4.85 260 21
LEVC 39.5 -0.47 280 20
LETO 40.48 -3.47 270 15
LETL 40.42 -1.22 280 16
LESU 42.33 1.4 310 16
LESB 39.6 2.7 320 21
LESA 40.95 -5.5 270 20
LERS 41.13 1.17 290 39
LERL 38.85 -3.97 260 16
LERI 37.95 -1.22 310 18
LEMH 39.87 4.22 280 17
LEMG 36.67 -4.47 300 14
LELO 42.45 -2.32 290 16
LELN 42.58 -5.65 260 17
LELL 41.52 2.1 270 19
LELC 37.77 -0.8 290 18
LEIB 38.87 1.38 270 24
LEHC 42.08 -0.32 300 30
LEGT 40.28 -3.72 260 22
LEGR 37.18 -3.78 260 10
LEGA 37.13 -3.62 0 5
LEEC 37.32 -6 250 6
LEDA 41.73 0.53 260 29
LECV 40.68 -3.75 270 11
LECO 43.3 -8.37 220 13
LECH 40.92 -1.28 270 16
LEBZ 38.87 -6.82 260 12
LEBR 42.2 -1.43 320 13
LEBL 41.28 2.07 320 17
LEBG 42.37 -3.62 240 19
LEBB 43.28 -2.92 310 9
LEBA 37.85 -4.83 230 9
LEAS 43.57 -6.03 260 13
LEAO 38.95 -3.73 270 15
LEAM 36.85 -2.37 0 2
LEAL 38.27 -0.55 300 24
LEAB 38.95 -1.85 280 23
LBWB 43.42 28.18 180 10
LBPL 43.45 24.5 340 4
LBIA 42.45 26.35 130 10
GMTN 35.58 -5.32 260 12
GMTA 35.17 -3.85 320 14
GMFO 34.78 -1.92 290 14
GEML 35.27 -2.95 260 21
EIWF 52.18 -7.08 170 7
EISG 54.28 -8.6 120 12
EIKY 52.18 -9.53 260 5
EIDL 55.05 -8.33 130 15
DTTX 34.72 10.68 260 10
DTTN 36.47 8.8 300 8
DTTL 36.85 11.07 0 2
DTTB 37.25 9.8 270 15
DTTA 36.85 10.22 200 10
DTMB 35.77 10.75 290 5
DTKA 36.98 8.88 270 20
DAUB 34.78 5.73 300 31
DAOV 35.2 0.15 280 27
DAON 35.02 -1.47 280 11
DAOL 35.53 -0.52 250 28
DAOI 36.22 1.32 240 22
DAOB 35.33 1.47 270 25
DABT 35.75 6.32 310 16
DABS 35.43 8.12 300 8
DABC 36.27 6.62 310 13
DABB 36.82 7.82 300 17
DAAV 36.8 5.88 260 15
DAAS 36.18 5.33 310 17
